idDrink,Name,Category,Alcoholic,Glass,Instructions,Thumbnail,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure1 (ml),Measure2 (ml),Measure3 (ml),Measure4 (ml),Measure5 (ml),Measure6 (ml),Measure1 (percent),Measure2 (percent),Measure3 (percent),Measure4 (percent),Measure5 (percent),Measure6 (percent)
12107,Salty Dog,Ordinary Drink,Alcoholic,Highball glass,"Pour all ingredients over ice cubes in a highball glass. Stir well and serve. (Vodka may be substituted for gin, if preferred.)",https://www.thecocktaildb.com/images/media/drink/4vfge01504890216.jpg,Grapefruit juice,Gin,Salt,,,,5 *30 ml ,1 1/2 *30 ml ,1/4 *5 ml ,0,0,0,150,165,1.25,0,0,0,47,52,0,0,0,0
12308,Stone Sour,Ordinary Drink,Alcoholic,Whiskey sour glass,"Shake all ingredients with ice, strain into a chilled whiskey sour glass, and serve.",https://www.thecocktaildb.com/images/media/drink/vruvtp1472719895.jpg,Apricot brandy,Orange juice,Sweet and sour,,,,1 *30 ml ,1 *30 ml ,1 *30 ml ,0,0,0,30,30,30,0,0,0,33,33,33,0,0,0
13377,Sea breeze,Ordinary Drink,Alcoholic,Highball glass,Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.,https://www.thecocktaildb.com/images/media/drink/7rfuks1504371562.jpg,Vodka,Cranberry juice,Grapefruit juice,,,,1 1/2 *30 ml ,4 *30 ml ,1 *30 ml ,0,0,0,165,120,30,0,0,0,52,38,9,0,0,0
12162,Screwdriver,Ordinary Drink,Alcoholic,Highball glass,Mix in a highball glass with ice. Garnish and serve.,https://www.thecocktaildb.com/images/media/drink/8xnyke1504352207.jpg,Vodka,Orange juice,,,,,2 *30 ml ,0,0,0,0,0,60,0,0,0,0,0,100,0,0,0,0,0
16990,Sweet Tooth,Milk / Float / Shake,Alcoholic,Highball Glass,"Put 2 shots Godiva Liquour into a glass, add as much or as little milk as you would like.",https://www.thecocktaildb.com/images/media/drink/j6rq6h1503563821.jpg,Godiva liqueur,Milk,,,,,2 *44 mls ,0,0,0,0,0,88,0,0,0,0,0,100,0,0,0,0,0
12256,Sol Y Sombra,Ordinary Drink,Alcoholic,Brandy snifter,"Shake ingredients with ice, strain into a brandy snifter, and serve. (The English translation of the name of this drink is ""Sun and Shade"", and after sampling this drink, you'll understand why. Thanks, Kirby.)",https://www.thecocktaildb.com/images/media/drink/3gz2vw1503425983.jpg,Brandy,Anisette,,,,,1 1/2 *30 ml ,1 1/2 *30 ml ,0,0,0,0,165,165,0,0,0,0,50,50,0,0,0,0
15184,San Francisco,Ordinary Drink,Alcoholic,Highball glass,"Take a tall glass and put in a few ice cubes, fill the vodka over it and fill with juice then the ""creme"", to end fill in the grenadine but very carefully at the side of the glass so it will lay down in the bottom. garnish with orange and strawberry.",https://www.thecocktaildb.com/images/media/drink/szmj2d1504889961.jpg,Vodka,Creme de Banane,Grenadine,Orange juice,,,2 *10 ml ,2 *10 ml ,0,0,0,0,20,20,0,0,0,0,50,50,0,0,0,0
15226,Space Odyssey,Ordinary Drink,Alcoholic,Highball glass,Fill glass with ice and add shots of Bacardi and Malibu. Add splash of pineapple juice and top with orange juice. Add grenadine for color and garnish with cherries.,https://www.thecocktaildb.com/images/media/drink/vxtjbx1504817842.jpg,151 proof rum,Malibu rum,Pineapple juice,Orange juice,Grenadine,Cherries,1 *44 ml Bacardi ,1 *44 ml ,1 *44 ml ,0,0,0,44,44,44,0,0,0,33,33,33,0,0,0
12388,Thriller,Ordinary Drink,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/rvuswq1461867714.jpg,Scotch,Wine,Orange juice,,,,1 1/2 *30 ml ,1 *30 ml Green Ginger ,1 *30 ml ,0,0,0,165,30,30,0,0,0,73,13,13,0,0,0
17828,Tipperary,Cocktail,Alcoholic,Nick and Nora Glass,"Stir over ice. Strain into chilled glass. Cut a wide swath of orange peel, and express the orange oils over the drink. Discard orange twist.",https://www.thecocktaildb.com/images/media/drink/b522ek1521761610.jpg,Irish Whiskey,Sweet Vermouth,Green Chartreuse,,,,2 *30 ml,1 *30 ml,1/2 *30 ml,0,0,0,60,30,15,0,0,0,57,28,14,0,0,0
12402,Tom Collins,Ordinary Drink,Alcoholic,Collins glass,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice.",https://www.thecocktaildb.com/images/media/drink/qystvv1439907682.jpg,Gin,Lemon juice,Sugar,Club soda,Maraschino cherry,Orange,2 *30 ml ,1 *30 ml ,1 *5 ml superfine ,3 *30 ml ,1,1,60,30,5,90,1,1,32,16,2,48,0,0
15639,Texas Sling,Milk / Float / Shake,Alcoholic,Wine Glass,"Blend with Ice until smooth. Serve in a tulip glass, top with whip cream.",https://www.thecocktaildb.com/images/media/drink/ypl13s1504890158.jpg,Kahlua,Irish cream,Amaretto,151 proof rum,Cream,,1/2 *30 ml ,1/2 *30 ml ,1/2 *30 ml ,1/2 *30 ml Bacardi ,1 *30 ml ,0,15,15,15,15,30,0,16,16,16,16,33,0
12362,Tequila Fizz,Ordinary Drink,Alcoholic,Collins glass,"Shake all ingredients (except ginger ale) with ice and strain into a collins glass over ice cubes. Fill with ginger ale, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/2bcase1504889637.jpg,Tequila,Lemon juice,Grenadine,Egg white,Ginger ale,,2 *30 ml ,1 *15 ml ,3/4 *30 ml ,1,0,0,60,15,22.5,1,0,0,60,15,22,1,0,0
14860,Talos Coffee,Coffee / Tea,Alcoholic,Brandy snifter,Add your GM and then add your coffee.,https://www.thecocktaildb.com/images/media/drink/rswqpy1441246518.jpg,Grand Marnier,Coffee,,,,,3,1,0,0,0,0,3,1,0,0,0,0,75,25,0,0,0,0
15515,Tennesee Mud,Coffee / Tea,Alcoholic,Coffee Mug,"Mix Coffee, Jack Daniels and Amaretto. Add Cream on top.",https://www.thecocktaildb.com/images/media/drink/txruqv1441245770.jpg,Coffee,Jack Daniels,Amaretto,Whipped cream,,,8 *30 ml ,4 *30 ml ,4 *30 ml ,0,0,0,240,120,120,0,0,0,50,25,25,0,0,0
17247,The Last Word,Cocktail,Alcoholic,Cocktail glass,Shake with ice and strain into a cocktail glass.,https://www.thecocktaildb.com/images/media/drink/91oule1513702624.jpg,Green Chartreuse,Maraschino Liqueur,Lime Juice,,,,1 *30 ml,1 *30 ml,1 *30 ml,0,0,0,30,30,30,0,0,0,33,33,33,0,0,0
178307,Tequila Slammer,Shot,Alcoholic,Hurricane glass,Mix carefully to avoid releasing the dissolved CO2.,https://www.thecocktaildb.com/images/media/drink/43uhr51551451311.jpg,Tequila,7-up,,,,,1 *44 ml,1,0,0,0,0,44,1,0,0,0,0,97,2,0,0,0,0
